,label,tweet
0,Love,Keren kando
1,Fear,"Grace Natalie kemudian membandingkan hasil temuan tim riset PSI, antara era kepemimpinan Susilo Bambang Yudhoyono (…"
2,Love,"Mantap ,,,,"
3,Sad,Uda pernah. Ga dapet apa apaaaah
4,Fear,"[USERNAME] Paling parah sih gabisa sama skali liat yg bolong2, totol2(?), bintik2, polkadot2 semacam itu lah. Bisa nangis sampe pusing karena terngiang2 terus di kepala dan geli aja takut pokoknya gamau liat"
5,Sad,Menerima Pembayaran Menggunakan Ginjal\n\n#ROG\n#ILOVEROG\n#ASUS\n#snsv\n\n:v
6,Sad,min facebook saya di ambil orang dan saya tidak tau siapa yang ambil alih nya mohon pencerahhan nya
7,Love,@Aryprasetyo85 @Gerindra Mantap nich partai...komplit pake spesial  gmn klo indonesia  d kuasai partai ini?
8,Sad,Sejujurnya masih sesedih itu gak bisa nurutin ambisi yang selama ini dipengenin. Tapi emang harus belajar ikhlas. Ridho. Benar-benar menyerahkan semuanya ke Tuhan. Kudu legowo.
9,Joy,"Pertarungan Real Madrid vs Atletico Madrid menggambarkan Pertarungan dua kontradiksi abadi dlm sistem ekonomi masyarakat Dunia. Real Madrid mewakili kekuatan dominasi Borjuasi, mulai dari Borjuasi kecil, Borjuasi Nasional hingga Borjuasi Komparador. Sementara Atletico Madrid mewakili kekuatan solidaritas Kelas pekerja, yg tdk menonjolkan kekuatan individu tertentu. Mereka bersatu dan melawan serta bangkit dari keterpurukan, dgn memanfaatkan 90 menit waktu normal ditambah babak perpanjangan waktu, walau kemudian lagi2 kemenangan harus ditentukan oleh kekuatan individu (Adu Pinalti). Bravo Atletico, Revolusi Belum Selesai... dan jgn salah, ada banyak kemenangan kecil.. dgn Bursa segitu, Hancur Bandar Brooo.... wkwkwkwkwkw :D  #DontSTOPthePARTY  :D"
10,Love,Kelurahan mana? Anda laporkan ke sini? Sebut saja namanya @P3Mkotasmg
11,Love,Khofifah: Pasar Ikan Lamongan Bisa Jadi Plasa Ikan ala Korsel #EmilDardak
12,Fear,Nyimakk
13,Joy,@Gerindra Aamiin yaa Robb
14,Fear,info buat teman2 dan saudara2 dijalan selama bulan puasa....kemarin teman saya dijalan berasa di hipnotis.....tau tau masuk ke dalam MCdonald...pas kenyang baru sadar....mohon hati2 penipuan ini lagi marak selama bulan puasa....
15,Anger,@NurSyahbana9 @BambangDj40 @Gerindra @fadlizon @kumparan Yg menghalang2i UU Terorisme adl bagian dr teroris! Bknkah bgt Zonk @ Fadlizon?
16,Fear,Brp harganya
17,Joy,never surrender @SBYudhoyono lanjutGAN...!!! #BangRip
18,Joy,@fadlizon @Gerindra @prabowo setuju banget pak prabowo capres... tapi capres aja yaaaa. tapi tetep jokowi presidenya.. #2PERIODE
19,Sad,… I Tak pro rakyat I @MRF_Info @MustafaJajuli @herman_sutono @SrikandiLampung…
20,Fear,Ini kapan buka di Jakarta ya?
21,Sad,@Fey46260988 @HipHop74934648 @Gerindra @fadlizon @prabowo Ihhh..\nSerem yg temenan sm tuh partai...
22,Sad,"Di malam ini, saat lagi terpojokkan memilih jalan. Dapet DM begini : kalo udah ada niat segera d laksanakan.. soale ntr d tunda sama dengan ga jdi wkwk biasane wkwk Lalu kutersedaq"
23,Love,"@prabowo , 2014 sy sdh nulis. Sependapat, salah urus negara/indonesia bisa bubar."
24,Love,@Sutopo_PN @Daeng_Info @RadioElshinta @jokowi @prabowo Kayak ditempatku dulu. Kawasan cepu jateng
25,Love,Akbar Tanjung Bilang Cak Imin Cocok Jadi Cawapres @cakimiNOW @jokowi @Jkw_CakImin…
26,Fear,"@bambangelf Kayanya dia bukan orang NU, karena tdk paham... Dan blm bs memahami \Gitu Aja Kok Repot\nya Gus Dur...…"
27,Fear,"@tvOneNews @karniilyas mohon fasilitas chat pada dinonaktifkan, chatnya jadi ajang saling h…"
28,Fear,Mau nanya uname fb saya permanen ga bisa di ganti\nApa itu bisa di atasi??
29,Sad,"Pacaran sama yg kerjanya sama2 sift itu jujur aja lumayan nga ena - Gue libur dia berangkat - Gue berangkat dia libur - Sama sama libur tapi abis sift malem capek Tapi, jadi buat tantangan sih kalo ngeliat orang pacaran dengan mudahnya jalan tiap hari alias bacot saya! Huhuhu"
30,Sad,iya tur iya jangan sombong lagi ya :d lah mav kalau sudah sombong sma kam tur :/ dari kemaren2
31,Sad,"Pengurus Partai Perindo Mengundurkan Diri Secara Massal, Bakar Baju dan KTA,"
32,Love,Salam PANCASILA-MERDEKAAA.. No 4 selalu dihati
33,Sad,@raihana_wiwieal @eae18 @Gerindra Si @SANUCIP kader @PDemokrat yg dendam sama @Gerindra
34,Fear,7 Alasan KENAPA harus PAYTREN\n\nBerikut 7 Alasan Utama kenapa memakai Aplikasi Paytren ?\n\n1. MENU APLIKASI LENGKAP\nM…
35,Anger,Jangan biarkan teroris terus mendapatkan ruang untuk merongrong kehidupan masyarakat. Kita harus lawan !
36,Love,Setya Novanto Sempat Minta Pengacara Menemuinya di Rumah
37,Sad,@AdriansyahDgenk @rockygerung Sama aja lah kaya kalian juga kn memuja prabowo haha..
38,Love,jadikan pionir dlm hidup sukses
39,Love,Saya pun sudah tau kalo itu hoax. .setiap ada pesan atau chatt berantai kek gtu selalu saya ambaikan. .\nTerima kasih informasinya facebook
40,Joy,"Bissmillah semoga jadi rejeki anak yang insya allah soleh amiennnnnnnnnnnnn, dan Jawabannya  :\nSaya melihat Ada 5 perbedaan di gambar tersebut antara lain...\n1. Logo Texas Chicken\n2. Sedotan\n3. Topping diatas Es krim\n4. Saus dekat mayones\n5. Kentang goreng di piring kanan\n\nIkutan yup sapa tahu jadi jalan rejeki kita \nAnwar Samudra\nTersisih\nAkhmad Munaji Sadulloh\nCepot Petakilan\nMuhamad Panji Irawan"
41,Fear,"Prof [USERNAME] mohon kiranya di-share cerita lengkap soal foto ibu yg saya jepret saat salat maghrib di gereja ayam pniel kmrn, biar gak ada informasi yg sepotong-sepotong. Trims Prof"
42,Sad,"Sebenernya gak pengen ikut-ikutan jadi panitia pemilu, tapi gimana yah ada duitnya sih. Lol Gak juga deng! Hmm lebih ke pengen ngerasain gimana jadi panitia pemilu gitu. Dan baru tau kabar soal kecurangan kotak suara itu benar adanya. Sungguhlah manusia2 ini"
43,Joy,"Nasib @prabowo yg jelek, dr juragan skarang pengen jd presiden tp ga ksampaian, sakitnya tuh disini....."
44,Joy,"Kunci Kemajuan Madura Versi Emil Elestianto Dardak, Mulai Jagung Hingga Ulama Kawal Investasi #EmilDardakAja"
45,Anger,"Halo,maaf saya mau bertanya\nKnp sekarang fb nya kok tidak seperti sebelum Nya? \nMaksutnya meninjau laporan nya sangat lama dan hampir tidak ditinjau sama sekali\nSaya tadi melaporkan sebuah grup dimana grup itu sangat mengancam dan kesrluruhan isi grup itu adalah ungkapan kekerasan,penghinaan agama, ancaman, unsur sexs,dll.\nMohon respown nya\nTrimakasih"
46,Sad,@drhandri @maspiyuuu @prabowo @SBYudhoyono Pesimis berharap ama Partai Abu2.
47,Fear,2 hari belakangan ini kenapa tidak bisa mengganti foto sampul fans page ?
48,Anger,Apabila sales bni life JUJUR maka saya tak akan komplain.\nAtau beginikah SOP perekrutan nasabah BNI LIFE??
49,Love,Sampe jam 12 malam ini????
50,Joy,"Mari menanam kebaikan....\nTanam Pohon Untuk Menjaga Lingkungan. \nPenanaman pohon di Desa Daya Makmur, Muara Padang, Banyuasin, Senin (7/5/2018)"
51,Sad,"makin hari gua makin khatam sama sifatnya, tololnya gua adalah ""feeling use, but i still missing u and i can't see the end of this."" gitu lah pkknya sotoi gua orgnya emng ceritanya gua pengen rubah cara pandang dia, lebih peduli sama dia, perhatiin dia. but.."
52,Fear,Ya.....Allah..smoga 2019 tdk ada lagi 2 manusia super hero di DPR
53,Joy,"@fadlizon Selamat Pak Prabowo, setelah gagal cawapres, gagal capres, hari ini bapak jadi Presiden Twitter. Selamat…"
54,Love,"Di kelas cuma bisa nulis gabisa memahami ataupun ndengerin. Mata, jari, pikiran semuanya ke layar hp bolak balik bu…"
55,Anger,Balas email dong
56,Joy,nonton yuk acara interview di TVOne. Acara kabar petang hari ini Pkl. 17.30. temanya pandangan SBY terhadap berbaga…
57,Sad,@MayjenSudrajat @Gerindra Barusan aja juga hampir longsor...kalo aja tidak ada yg menenangkan pendukung partai itu…
